po_number,vendor_id,vendor_name,contract_id,item_category,item_description,quantity_ordered,quantity_delivered,unit,unit_price,total_amount,gst_rate,gst_amount,discount_pct,discount_amount,total_with_gst,final_amount,amount_paid,outstanding_amount,po_date,acknowledgment_date,expected_delivery_date,actual_delivery_date,days_to_deliver,delay_days,po_status,delivery_status,quality_rating,payment_terms,delivery_terms,incoterms,delivery_location,priority,amendment_count,compliance_status,buyer_name,approver_name,cancellation_reason,notes,delivery_completion_pct,payment_completion_pct
PO00865,VEN00142,Vendor 142,CONT01284,Concrete Mixers,Concrete Mixers - Grade C,78,78,Sets,2987.21,233002.06,18,41940.37,7.67,17876.27,274942.43,257066.16,257066.16,0.0,2025-06-08,2025-06-14,2025-09-22,2025-09-22,106.0,0,Completed,Delivered,Good,Against Delivery,FCA,EXW,Site B - Delhi,Low,0,Compliant,Project Manager,CFO,,Amendment requested,100.0,100.0
PO00866,VEN00007,Vendor 7,CONT01943,Paint,Paint - Grade B,8313,8313,Kg,152.57,1268289.15,12,152194.7,7.34,93107.27,1420483.85,1327376.58,1327376.58,0.0,2025-03-19,2025-03-22,2025-05-13,2025-05-05,47.0,0,Completed,Delivered,Average,"Advance 20%, Balance 80%",Door Delivery,CIF,Site C - Bangalore,Urgent,2,Compliant,Procurement Head,Senior Manager,,Complete delivery in one lot,100.0,100.0
PO00867,VEN01361,Vendor 1361,CONT00495,Marble,Marble - Grade A,29,29,Feet,301.02,8729.68,5,436.48,0.0,0.0,9166.17,9166.17,9166.17,0.0,2025-06-29,2025-07-01,2025-08-27,2025-08-27,59.0,0,Completed,Delivered,Good,LC at Sight,Delivered to Site,DAP,Warehouse - Pune,Medium,0,Compliant,Materials Manager,Senior Manager,,Urgent delivery required,100.0,100.0
PO00868,VEN00276,Vendor 276,CONT01717,Reinforcement Steel,Reinforcement Steel - Grade B,9820,1438,Ton,7279.46,71484301.72,18,12867174.31,0.0,0.0,84351476.03,84351476.03,0.0,84351476.03,2025-10-24,2025-10-25,2026-01-15,,,0,On Hold,On Hold,Not Rated,30-60-90 days,FOB,FOB,Main Office,Medium,1,Pending,Materials Manager,Director,,Awaiting quality approval,14.64,0.0
PO00869,VEN00247,Vendor 247,CONT00056,Lighting Fixtures,Lighting Fixtures - Grade B,37,9,Sets,9088.86,336287.82,18,60531.81,3.12,10495.21,396819.63,386324.42,0.0,386324.42,2025-03-01,2025-03-05,2025-07-10,,,0,On Hold,On Hold,Not Rated,Net 45 days,Door Delivery,DAP,Project Site,Medium,2,Pending,Purchase Manager,General Manager,,Awaiting quality approval,24.32,0.0
PO00870,VEN01831,Vendor 1831,CONT00686,Transformers,Transformers - Grade Standard,2990,711,Nos,129414.07,386948074.23,0,0.0,0.0,0.0,386948074.23,386948074.23,96191506.99,290756567.25,2025-10-04,2025-10-05,2026-01-18,,,0,On Hold,On Hold,Not Rated,Progress Payment,FCA,FOB,Main Office,Urgent,0,Pending,Contracts Manager,Senior Manager,,Complete delivery in one lot,23.78,24.86
PO00871,VEN01896,Vendor 1896,CONT01793,Waterproofing Membrane,Waterproofing Membrane - Grade Premium,172,23,MT,7574.78,1302862.18,5,65143.11,0.0,0.0,1368005.29,1368005.29,0.0,1368005.29,2025-03-05,2025-03-12,2025-08-02,,,0,Delayed,Delayed,Not Rated,Cash on Delivery,CIF,DDP,Site B - Delhi,Medium,0,Pending,Purchase Manager,Director,,Complete delivery in one lot,13.37,0.0
PO00872,VEN01427,Vendor 1427,CONT00938,Windows,Windows - Grade Standard,69,0,Cubic Meter,238.24,16438.81,12,1972.66,0.0,0.0,18411.47,18411.47,0.0,18411.47,2025-12-29,2026-01-04,2026-04-12,,,0,Acknowledged,Not Started,Not Rated,Bank Guarantee,Delivered to Site,DAP,Site A - Mumbai,Medium,0,Pending,Site Engineer,CFO,,Quality inspection mandatory,0.0,0.0
PO00873,VEN01481,Vendor 1481,CONT00984,Aluminum,Aluminum - Grade A,49,37,Kg,4388.03,215013.38,28,60203.75,0.0,0.0,275217.13,275217.13,185210.99,90006.13,2025-04-25,2025-05-01,2025-07-22,2025-07-08,74.0,0,Partially Delivered,Partially Delivered,Average,Progress Payment,CIF,EXW,Factory - Gujarat,Medium,0,Pending,Project Manager,Senior Manager,,Complete delivery in one lot,75.51,67.3
PO00874,VEN00264,Vendor 264,CONT00931,Bricks,Bricks - Grade Premium,380,380,Units,9252.53,3515960.43,0,0.0,0.0,0.0,3515960.43,3515960.43,2623802.6,892157.83,2025-06-18,2025-06-25,2025-09-18,2025-09-28,102.0,10,Delivered,Delivered,Excellent,Net 30 days,FOB,CIF,Project Site,Low,1,Minor Issues,Materials Manager,Senior Manager,,Urgent delivery required,100.0,74.63
PO00875,VEN01383,Vendor 1383,CONT01702,Reinforcement Steel,Reinforcement Steel - Grade B,479,479,MT,4855.96,2326003.02,0,0.0,0.0,0.0,2326003.02,2326003.02,2326003.02,0.0,2024-11-19,2024-11-26,2025-04-02,2025-06-01,194.0,60,Delivered,Delayed,Good,Net 30 days,CIF,DAP,Site C - Bangalore,High,0,Minor Issues,Contracts Manager,Vice President,,Complete delivery in one lot,100.0,100.0
PO00876,VEN00077,Vendor 77,,Switches,Switches - Grade B,85,0,Meters,6584.65,559695.16,0,0.0,7.91,44290.25,559695.16,515404.91,0.0,515404.91,2024-12-16,,2025-02-19,,,0,Cancelled,Cancelled,Not Rated,Net 45 days,CIF,CIF,Site C - Bangalore,Medium,0,Pending,Site Engineer,General Manager,Project Cancelled,Vendor confirmed delivery,0.0,0.0
PO00877,VEN00372,Vendor 372,CONT01957,Structural Steel,Structural Steel - Grade B,875,875,Units,1349.78,1181057.63,12,141726.92,0.0,0.0,1322784.54,1322784.54,1322784.54,0.0,2025-03-22,2025-03-26,2025-07-15,2025-08-07,138.0,23,Completed,Delivered,Average,LC at Sight,FOB,CIF,Site A - Mumbai,Medium,1,Compliant,Purchase Manager,CFO,,Vendor confirmed delivery,100.0,100.0
PO00878,VEN00507,Vendor 507,CONT00930,LED Lights,LED Lights - Grade Premium,9692,0,Meters,8320.74,80644584.57,12,9677350.15,0.0,0.0,90321934.72,90321934.72,16335339.5,73986595.21,2025-07-09,,2025-12-06,,,0,Cancelled,Cancelled,Not Rated,"Advance 30%, Balance 70%",Ex-Works,DAP,Factory - Gujarat,Medium,2,Pending,Procurement Head,CFO,Change in Requirements,As per contract terms,0.0,18.09
PO00879,VEN00758,Vendor 758,CONT01787,LED Lights,LED Lights - Grade Standard,969,969,Quintal,7849.29,7605959.23,12,912715.11,0.0,0.0,8518674.34,8518674.34,8518674.34,0.0,2025-04-09,2025-04-16,2025-09-07,2025-11-05,210.0,59,Completed,Delayed,Average,Net 60 days,DAP,DAP,Warehouse - Pune,Low,3,Compliant,Project Manager,Project Director,,,100.0,100.0
PO00880,VEN01189,Vendor 1189,CONT01434,Air Conditioners,Air Conditioners - Grade B,492,220,Cubic Meter,8786.55,4322984.73,18,778137.25,0.0,0.0,5101121.98,5101121.98,2218678.02,2882443.96,2025-03-16,2025-03-20,2025-06-05,2025-07-03,109.0,28,Partially Delivered,Partially Delivered,Average,Net 45 days,Ex-Works,DAP,Warehouse - Pune,Medium,1,Pending,Purchase Manager,Senior Manager,,Vendor confirmed delivery,44.72,43.49
PO00881,VEN00556,Vendor 556,CONT01351,Electrical Cables,Electrical Cables - Grade Premium,268,159,MT,3993.63,1070293.96,28,299682.31,0.0,0.0,1369976.27,1369976.27,717734.26,652242.01,2024-11-10,2024-11-12,2025-01-04,2025-01-19,70.0,15,Partially Delivered,Partially Delivered,Not Rated,30-60-90 days,Door Delivery,FOB,Factory - Gujarat,High,0,Pending,Contracts Manager,Vice President,,,59.33,52.39
PO00882,VEN01344,Vendor 1344,,Escalators,Escalators - Grade A,3036,415,Cubic Meter,2621886.59,7960047685.58,5,398002384.28,8.19,651620130.54,8358050069.86,7706429939.32,2163712690.68,5542717248.64,2024-12-14,2024-12-16,2025-01-28,,,0,Delayed,Delayed,Not Rated,30-60-90 days,Delivered to Site,DAP,Warehouse - Pune,Medium,0,Pending,Project Manager,Senior Manager,,Quality inspection mandatory,13.67,28.08
PO00883,VEN00270,Vendor 270,CONT00585,HVAC Units,HVAC Units - Grade B,4207,4207,Square Meter,4272478.81,17974318333.06,28,5032809133.26,7.06,1269468085.35,23007127466.31,21737659380.96,21737659380.96,0.0,2025-02-09,2025-02-15,2025-05-21,2025-06-12,123.0,22,Completed,Delivered,Good,LC at Sight,DDP,CIF,Main Office,Medium,1,Compliant,Site Engineer,Vice President,,Awaiting quality approval,100.0,100.0
PO00884,VEN01681,Vendor 1681,CONT01036,Safety Equipment,Safety Equipment - Grade A,3629,2087,Bags,6242.18,22652859.0,18,4077514.62,2.2,499404.59,26730373.62,26230969.03,12384549.08,13846419.95,2024-09-22,2024-09-24,2024-11-13,2024-11-25,64.0,12,Partially Delivered,Partially Delivered,Average,Net 90 days,CIF,FOB,Factory - Gujarat,High,0,Pending,Materials Manager,Vice President,,Partial delivery acceptable,57.51,47.21
PO00885,VEN01163,Vendor 1163,CONT01498,Gypsum Boards,Gypsum Boards - Grade A,615,0,Liters,8348.98,5134625.48,5,256731.27,4.19,215092.32,5391356.76,5176264.43,0.0,5176264.43,2024-09-06,,2025-01-21,,,0,Cancelled,Cancelled,Not Rated,"Advance 20%, Balance 80%",FOB,EXW,Factory - Gujarat,Urgent,1,Pending,Contracts Manager,General Manager,Vendor Request,Amendment requested,0.0,0.0
PO00886,VEN01230,Vendor 1230,CONT00152,Copper Pipes,Copper Pipes - Grade Standard,7317,0,Kg,8499.37,62189858.9,5,3109492.94,2.31,1436100.71,65299351.84,63863251.13,11549009.14,52314241.99,2025-12-12,2025-12-13,2026-01-23,,,0,In Progress,Not Started,Not Rated,Progress Payment,Delivered to Site,DAP,Site A - Mumbai,Low,1,Pending,Contracts Manager,General Manager,,Partial delivery acceptable,0.0,18.08
PO00887,VEN00598,Vendor 598,,Marble,Marble - Grade C,7476,7476,Nos,144.29,1078700.39,5,53935.02,0.0,0.0,1132635.41,1132635.41,1132635.41,0.0,2025-07-31,2025-08-01,2025-09-14,2025-10-30,91.0,46,Delivered,Delayed,Good,Against Delivery,CIF,DAP,Site B - Delhi,Medium,3,Compliant,Purchase Manager,Vice President,,Amendment requested,100.0,100.0
PO00888,VEN00203,Vendor 203,CONT01810,Aggregates,Aggregates - Grade Premium,5800,0,Bags,3104.21,18004392.63,18,3240790.67,0.0,0.0,21245183.3,21245183.3,2499559.12,18745624.18,2025-12-21,2025-12-23,2026-02-23,,,0,Issued,Not Started,Not Rated,Net 60 days,Door Delivery,EXW,Main Office,Low,0,Pending,Site Engineer,Project Director,,Vendor confirmed delivery,0.0,11.77
PO00889,VEN00280,Vendor 280,CONT01913,Construction Equipment,Construction Equipment - Grade A,8902,8902,Meters,3016.18,26850069.05,18,4833012.43,0.0,0.0,31683081.48,31683081.48,31683081.48,0.0,2024-08-22,2024-08-28,2024-12-27,2025-02-20,182.0,55,Delivered,Delayed,Average,Net 45 days,FOB,DAP,Main Office,Low,4,Compliant,Project Manager,General Manager,,As per contract terms,100.0,100.0
PO00890,VEN00244,Vendor 244,CONT01797,Bricks,Bricks - Grade A,221,0,Bundles,6008.44,1327864.91,18,239015.68,3.48,46267.71,1566880.59,1520612.88,254591.7,1266021.18,2025-11-15,2025-11-17,2026-03-30,,,0,In Progress,In Transit,Not Rated,LC at Sight,Door Delivery,DDP,Site B - Delhi,Low,5,Pending,Contracts Manager,Project Director,,Urgent delivery required,0.0,16.74
PO00891,VEN00285,Vendor 285,CONT00580,Sanitary Ware,Sanitary Ware - Grade A,9892,5473,Nos,9157.52,90586230.15,12,10870347.62,0.0,0.0,101456577.77,101456577.77,51539994.92,49916582.85,2024-07-22,2024-07-28,2025-01-02,2025-01-15,177.0,13,Partially Delivered,Partially Delivered,Good,Net 30 days,FCA,FOB,Factory - Gujarat,Medium,1,Pending,Materials Manager,Project Director,,Partial delivery acceptable,55.33,50.8
PO00892,VEN00749,Vendor 749,CONT01034,Electrical Cables,Electrical Cables - Grade B,3967,3967,Cubic Meter,1419.36,5630614.7,12,675673.76,0.0,0.0,6306288.46,6306288.46,5768711.15,537577.31,2024-12-03,2024-12-06,2025-04-15,2025-05-18,166.0,33,Delivered,Delayed,Below Average,Bank Guarantee,FOB,FOB,Factory - Gujarat,High,1,Compliant,Procurement Head,Director,,Awaiting quality approval,100.0,91.48
PO00893,VEN01764,Vendor 1764,,Concrete,Concrete - Grade Standard,66,66,Units,4956.24,327111.74,12,39253.41,8.43,27587.48,366365.15,338777.67,279618.8,59158.86,2024-11-14,2024-11-17,2025-05-01,2025-05-03,170.0,2,Delivered,Delivered,Good,Net 30 days,Ex-Factory,DAP,Site C - Bangalore,High,0,Compliant,Contracts Manager,Director,,As per contract terms,100.0,82.54
PO00894,VEN00359,Vendor 359,CONT00582,Cement,Cement - Grade Standard,6274,0,Liters,642.82,4033042.23,12,483965.07,0.0,0.0,4517007.3,4517007.3,0.0,4517007.3,2025-01-05,,2025-04-21,,,0,Cancelled,Cancelled,Not Rated,Progress Payment,DAP,DAP,Warehouse - Pune,High,0,Pending,Procurement Head,Senior Manager,Budget Constraints,Vendor confirmed delivery,0.0,0.0
PO00895,VEN01367,Vendor 1367,,Switches,Switches - Grade B,499,383,Truckloads,7936.3,3960214.75,18,712838.65,0.0,0.0,4673053.4,4673053.4,3413974.44,1259078.96,2025-08-25,2025-08-26,2025-09-25,2025-10-26,62.0,31,Partially Delivered,Delayed,Average,Progress Payment,FOB,EXW,Site B - Delhi,High,1,Pending,Purchase Manager,Vice President,,Urgent delivery required,76.75,73.06
PO00896,VEN01833,Vendor 1833,CONT01274,Electrical Cables,Electrical Cables - Grade C,254,254,Truckloads,2950.32,749381.53,28,209826.83,0.0,0.0,959208.36,959208.36,959208.36,0.0,2025-10-01,2025-10-03,2026-01-06,2026-01-07,98.0,1,Completed,Delivered,Good,Net 60 days,CIF,EXW,Project Site,Medium,3,Compliant,Procurement Head,Project Director,,,100.0,100.0
PO00897,VEN01316,Vendor 1316,CONT00052,Scaffolding,Scaffolding - Grade B,385,176,Quintal,2580.75,993589.52,5,49679.48,5.22,51865.17,1043269.0,991403.83,433656.83,557746.99,2025-05-24,2025-05-27,2025-10-14,2025-11-10,170.0,27,Partially Delivered,Partially Delivered,Not Rated,"Advance 30%, Balance 70%",FCA,DAP,Main Office,Medium,1,Pending,Contracts Manager,General Manager,,As per contract terms,45.71,43.74
PO00898,VEN01180,Vendor 1180,CONT00002,Air Conditioners,Air Conditioners - Grade Standard,826,826,Cubic Meter,4348.59,3591937.85,18,646548.81,0.0,0.0,4238486.67,4238486.67,4238486.67,0.0,2024-07-23,2024-07-24,2025-01-08,2025-02-04,196.0,27,Delivered,Delivered,Good,Net 90 days,DDP,DAP,Distribution Center,Medium,0,Compliant,Procurement Head,Project Director,,Partial delivery acceptable,100.0,100.0
PO00899,VEN00857,Vendor 857,CONT00142,Wiring,Wiring - Grade Standard,80,80,Truckloads,4841.22,387297.22,18,69713.5,0.0,0.0,457010.72,457010.72,457010.72,0.0,2025-03-25,2025-04-01,2025-06-12,2025-07-17,114.0,35,Delivered,Delayed,Good,"Advance 20%, Balance 80%",Ex-Factory,DAP,Site C - Bangalore,Medium,0,Compliant,Procurement Head,Vice President,,As per contract terms,100.0,100.0
PO00900,VEN01846,Vendor 1846,CONT00436,Wiring,Wiring - Grade Standard,2121,382,Cubic Meter,7229.45,15333659.7,12,1840039.16,0.0,0.0,17173698.86,17173698.86,0.0,17173698.86,2025-02-25,2025-03-02,2025-04-24,,,0,On Hold,On Hold,Not Rated,"Advance 30%, Balance 70%",Door Delivery,DDP,Distribution Center,Medium,0,Pending,Procurement Head,Project Director,,Awaiting quality approval,18.01,0.0
PO00901,VEN00031,Vendor 31,,Paint,Paint - Grade C,131,131,Cubic Meter,211.48,27703.4,5,1385.17,4.58,1268.06,29088.57,27820.51,25234.17,2586.34,2025-01-25,2025-01-29,2025-05-09,2025-05-11,106.0,2,Completed,Delivered,Good,Net 90 days,FOB,DDP,Site B - Delhi,Medium,1,Compliant,Purchase Manager,Senior Manager,,Quality inspection mandatory,100.0,90.7
PO00902,VEN00995,Vendor 995,CONT00322,False Ceiling,False Ceiling - Grade B,1356,1356,Square Meter,6876.52,9324562.03,28,2610877.37,0.0,0.0,11935439.4,11935439.4,11935439.4,0.0,2025-09-06,2025-09-13,2026-01-05,2026-01-16,132.0,11,Completed,Delivered,Good,Net 30 days,Delivered to Site,CIF,Warehouse - Pune,High,2,Compliant,Procurement Head,Director,,,100.0,100.0
PO00903,VEN00093,Vendor 93,CONT01598,Transformers,Transformers - Grade A,5780,3148,Ton,63084.71,364629649.98,5,18231482.5,0.0,0.0,382861132.48,382861132.48,169240629.73,213620502.75,2025-09-20,2025-09-26,2026-03-16,2026-05-02,224.0,47,Partially Delivered,Delayed,Good,30-60-90 days,FOB,FOB,Site B - Delhi,Medium,0,Pending,Site Engineer,Senior Manager,,Awaiting quality approval,54.46,44.2
PO00904,VEN00300,Vendor 300,,MCBs,MCBs - Grade Premium,5524,4138,Meters,124.33,686787.3,18,123621.71,0.0,0.0,810409.02,810409.02,502257.96,308151.06,2025-01-09,2025-01-13,2025-04-28,2025-05-12,123.0,14,Partially Delivered,Partially Delivered,Good,"Advance 20%, Balance 80%",FCA,CIF,Site B - Delhi,Medium,0,Pending,Contracts Manager,Senior Manager,,Complete delivery in one lot,74.91,61.98
PO00905,VEN00679,Vendor 679,CONT00904,Cranes,Cranes - Grade C,5968,1276,Bags,6809.02,40636253.54,0,0.0,7.36,2991088.36,40636253.54,37645165.18,0.0,37645165.18,2025-01-10,2025-01-14,2025-03-31,,,0,Delayed,Delayed,Not Rated,LC at Sight,Delivered to Site,DDP,Site A - Mumbai,High,0,Pending,Contracts Manager,Project Director,,As per contract terms,21.38,0.0
PO00906,VEN01135,Vendor 1135,,Construction Equipment,Construction Equipment - Grade C,5607,3587,Ton,2534.47,14210796.58,0,0.0,0.0,0.0,14210796.58,14210796.58,7644751.37,6566045.2,2025-07-31,2025-08-02,2025-10-02,2025-11-12,104.0,41,Partially Delivered,Delayed,Good,LC at Sight,Ex-Factory,DAP,Project Site,Medium,0,Pending,Purchase Manager,Senior Manager,,As per contract terms,63.97,53.8
PO00907,VEN00147,Vendor 147,CONT00776,LED Lights,LED Lights - Grade Standard,431,431,Loads,2932.06,1263719.28,5,63185.96,0.0,0.0,1326905.25,1326905.25,1326905.25,0.0,2025-10-13,2025-10-15,2025-12-03,2025-11-23,41.0,0,Delivered,On Time,Excellent,Cash on Delivery,DDP,DAP,Site C - Bangalore,Medium,2,Minor Issues,Site Engineer,Vice President,,Quality inspection mandatory,100.0,100.0
PO00908,VEN00425,Vendor 425,,Ventilation Systems,Ventilation Systems - Grade C,3057,1225,Liters,7574.16,23154209.56,28,6483178.68,2.83,654396.31,29637388.24,28982991.92,11371359.89,17611632.03,2025-08-30,2025-09-01,2026-01-29,2026-03-18,200.0,48,Partially Delivered,Delayed,Average,"Advance 30%, Balance 70%",CIF,DDP,Main Office,High,3,Pending,Procurement Head,General Manager,,Urgent delivery required,40.07,39.23
PO00909,VEN01669,Vendor 1669,CONT00724,Paint,Paint - Grade Premium,249,249,Meters,269.53,67113.79,12,8053.65,0.0,0.0,75167.44,75167.44,75167.44,0.0,2025-11-02,2025-11-06,2026-01-07,2026-01-23,82.0,16,Completed,Delivered,Good,"Advance 30%, Balance 70%",Delivered to Site,DDP,Main Office,Medium,0,Compliant,Project Manager,CFO,,As per contract terms,100.0,100.0
PO00910,VEN00338,Vendor 338,CONT01643,Insulation Material,Insulation Material - Grade C,925,193,Units,157.55,145737.75,18,26232.8,0.0,0.0,171970.55,171970.55,22115.22,149855.32,2025-08-18,2025-08-25,2025-12-06,,,0,Delayed,Delayed,Not Rated,LC at Sight,Door Delivery,DDP,Factory - Gujarat,Low,1,Pending,Project Manager,Director,,Amendment requested,20.86,12.86
PO00911,VEN00368,Vendor 368,CONT00474,Concrete Mixers,Concrete Mixers - Grade C,111,111,Nos,822.2,91263.9,28,25553.89,0.0,0.0,116817.8,116817.8,116817.8,0.0,2025-04-06,2025-04-11,2025-06-10,2025-07-12,97.0,32,Completed,Delayed,Below Average,Net 60 days,Ex-Works,CIF,Site A - Mumbai,Low,1,Compliant,Contracts Manager,Senior Manager,,Vendor confirmed delivery,100.0,100.0
PO00912,VEN01992,Vendor 1992,CONT01162,Escalators,Escalators - Grade B,57,0,Sets,1535802.09,87540719.02,28,24511401.33,0.0,0.0,112052120.35,112052120.35,0.0,112052120.35,2025-12-13,2025-12-15,2026-03-05,,,0,Issued,Not Started,Not Rated,"Advance 20%, Balance 80%",Ex-Factory,EXW,Site C - Bangalore,Medium,3,Pending,Purchase Manager,Director,,Urgent delivery required,0.0,0.0
PO00913,VEN01898,Vendor 1898,CONT01441,PVC Pipes,PVC Pipes - Grade C,2616,0,Sets,2051.59,5366960.99,5,268348.05,0.0,0.0,5635309.04,5635309.04,0.0,5635309.04,2025-12-25,2026-01-01,2026-05-05,,,0,In Progress,Not Started,Not Rated,LC at Sight,DDP,FOB,Site A - Mumbai,Low,4,Pending,Purchase Manager,General Manager,,,0.0,0.0
PO00914,VEN00599,Vendor 599,CONT00550,Reinforcement Steel,Reinforcement Steel - Grade Premium,495,126,Liters,8506.24,4210589.49,28,1178965.06,0.0,0.0,5389554.55,5389554.55,0.0,5389554.55,2025-06-03,2025-06-09,2025-10-19,,,0,Delayed,Delayed,Not Rated,Cash on Delivery,Door Delivery,EXW,Site A - Mumbai,Medium,2,Pending,Procurement Head,Senior Manager,,Vendor confirmed delivery,25.45,0.0
PO00915,VEN01311,Vendor 1311,CONT01243,Electrical Cables,Electrical Cables - Grade Premium,3303,1669,Nos,8684.16,28683783.33,5,1434189.17,0.0,0.0,30117972.5,30117972.5,14685513.01,15432459.49,2025-11-14,2025-11-21,2026-01-12,2026-01-08,55.0,0,Partially Delivered,Partially Delivered,Not Rated,Net 90 days,FCA,FOB,Project Site,High,4,Pending,Procurement Head,General Manager,,Complete delivery in one lot,50.53,48.76
PO00916,VEN00802,Vendor 802,,Transformers,Transformers - Grade Standard,98,32,Liters,123873.87,12139639.57,0,0.0,0.0,0.0,12139639.57,12139639.57,3492780.93,8646858.64,2024-07-19,2024-07-22,2024-12-26,2024-12-18,152.0,0,Partially Delivered,Partially Delivered,Average,Net 90 days,CIF,DDP,Project Site,Medium,3,Pending,Procurement Head,Senior Manager,,Partial delivery acceptable,32.65,28.77
PO00917,VEN01070,Vendor 1070,CONT00212,PVC Pipes,PVC Pipes - Grade Standard,744,744,Meters,2051.14,1526049.23,28,427293.78,0.0,0.0,1953343.01,1953343.01,1953343.01,0.0,2024-08-07,2024-08-14,2024-09-18,2024-10-24,78.0,36,Delivered,Delayed,Good,"Advance 30%, Balance 70%",Delivered to Site,DDP,Site B - Delhi,Medium,1,Non-Compliant,Project Manager,Vice President,,Urgent delivery required,100.0,100.0
PO00918,VEN00317,Vendor 317,CONT01619,Safety Equipment,Safety Equipment - Grade A,410,410,Loads,1024.75,420146.42,12,50417.57,0.0,0.0,470563.99,470563.99,470563.99,0.0,2025-09-23,2025-09-27,2026-02-11,2026-04-03,192.0,51,Completed,Delayed,Poor,Net 45 days,CIF,EXW,Warehouse - Pune,Medium,2,Compliant,Project Manager,CFO,,As per contract terms,100.0,100.0
PO00919,VEN00848,Vendor 848,,Concrete,Concrete - Grade C,996,996,Liters,5291.54,5270374.85,0,0.0,0.0,0.0,5270374.85,5270374.85,5270374.85,0.0,2025-04-20,2025-04-22,2025-08-19,2025-09-29,162.0,41,Completed,Delayed,Average,Progress Payment,FCA,CIF,Site C - Bangalore,Medium,0,Compliant,Site Engineer,Senior Manager,,Awaiting quality approval,100.0,100.0
PO00920,VEN00820,Vendor 820,CONT00194,Escalators,Escalators - Grade Premium,7705,467,Nos,2966238.53,22854867901.16,28,6399363012.33,2.03,464960285.14,29254230913.49,28789270628.35,0.0,28789270628.35,2024-10-28,2024-11-01,2025-03-16,,,0,On Hold,On Hold,Not Rated,Net 60 days,Door Delivery,DDP,Factory - Gujarat,Low,3,Pending,Purchase Manager,Project Director,,,6.06,0.0
PO00921,VEN01662,Vendor 1662,CONT00523,Switches,Switches - Grade A,289,0,Bundles,3769.11,1089271.41,12,130712.57,0.0,0.0,1219983.98,1219983.98,123865.97,1096118.01,2025-08-31,2025-09-04,2026-02-09,,,0,Delayed,Delayed,Not Rated,Progress Payment,Ex-Factory,CIF,Distribution Center,Low,3,Pending,Purchase Manager,Senior Manager,,Partial delivery acceptable,0.0,10.15
PO00922,VEN01138,Vendor 1138,CONT01730,Paint,Paint - Grade Premium,70,6,Truckloads,193.57,13549.74,18,2438.95,0.0,0.0,15988.7,15988.7,0.0,15988.7,2025-03-13,2025-03-14,2025-05-17,,,0,Delayed,Delayed,Not Rated,30-60-90 days,FOB,FOB,Main Office,Low,0,Pending,Procurement Head,Director,,As per contract terms,8.57,0.0
PO00923,VEN00397,Vendor 397,CONT00595,Sanitary Ware,Sanitary Ware - Grade B,4026,4026,Loads,9353.29,37656338.27,28,10543774.72,0.0,0.0,48200112.99,48200112.99,48200112.99,0.0,2025-10-02,2025-10-06,2026-02-18,2026-03-23,172.0,33,Completed,Delayed,Good,30-60-90 days,Delivered to Site,DDP,Factory - Gujarat,High,1,Compliant,Project Manager,CFO,,Partial delivery acceptable,100.0,100.0
PO00924,VEN00399,Vendor 399,CONT00545,Steel Bars,Steel Bars - Grade A,687,62,Cubic Meter,1891.7,1299599.71,18,233927.95,0.0,0.0,1533527.66,1533527.66,0.0,1533527.66,2024-12-14,2024-12-15,2025-04-16,,,0,Delayed,Delayed,Not Rated,Net 45 days,CIF,DDP,Main Office,Medium,1,Pending,Project Manager,General Manager,,Amendment requested,9.02,0.0
PO00925,VEN01376,Vendor 1376,CONT00103,Pumps,Pumps - Grade A,52,52,Kg,7477.69,388840.09,0,0.0,0.0,0.0,388840.09,388840.09,306080.25,82759.84,2025-02-04,2025-02-06,2025-03-15,2025-03-19,43.0,4,Completed,Delivered,Good,Net 30 days,Door Delivery,FOB,Project Site,Low,1,Compliant,Contracts Manager,CFO,,,100.0,78.72
PO00926,VEN01882,Vendor 1882,CONT00452,Switches,Switches - Grade C,1847,1847,Kg,2908.51,5372020.83,18,966963.75,0.0,0.0,6338984.58,6338984.58,6338984.58,0.0,2025-06-29,2025-07-02,2025-08-25,2025-09-11,74.0,17,Delivered,Delivered,Good,Cash on Delivery,Door Delivery,DAP,Site A - Mumbai,Low,0,Minor Issues,Contracts Manager,Director,,Quality inspection mandatory,100.0,100.0
PO00927,VEN01931,Vendor 1931,CONT01014,Construction Equipment,Construction Equipment - Grade B,6198,6198,Cubic Meter,5433.39,33676138.12,12,4041136.57,6.74,2269083.74,37717274.7,35448190.95,35448190.95,0.0,2025-02-23,2025-03-01,2025-07-03,2025-08-20,178.0,48,Delivered,Delayed,Average,"Advance 20%, Balance 80%",FOB,FOB,Factory - Gujarat,High,1,Compliant,Contracts Manager,Senior Manager,,Quality inspection mandatory,100.0,100.0
PO00928,VEN00623,Vendor 623,CONT00773,Steel Bars,Steel Bars - Grade C,512,512,Liters,7068.33,3618984.15,18,651417.15,3.62,131128.31,4270401.3,4139272.99,4139272.99,0.0,2025-08-13,2025-08-20,2026-01-16,2026-01-26,166.0,10,Delivered,Delivered,Poor,"Advance 30%, Balance 70%",Delivered to Site,CIF,Site A - Mumbai,High,2,Compliant,Purchase Manager,General Manager,,Urgent delivery required,100.0,100.0
